Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,3/21/2023,DEPOSIT,207.9,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,197.91,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,184.92,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,165.95,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,160.94,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,123.93,DEPOSIT, ,
DSLIP,3/21/2023,DEPOSIT,97.98,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,405.33,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,347.01,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,252.88,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,237.9,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,212,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,207.88,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,137.94,DEPOSIT, ,
DSLIP,3/14/2023,DEPOSIT,43.98,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,413.81,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,403.22,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,357.99,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,235.42,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,202.01,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,154.85,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,150.95,DEPOSIT, ,
DSLIP,3/7/2023,DEPOSIT,122.05,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,490.8,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,317.87,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,221.91,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,178.91,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,160.93,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,139.33,DEPOSIT, ,
DSLIP,2/27/2023,DEPOSIT,116.95,DEPOSIT, ,
DSLIP,2/16/2023,DEPOSIT,443.65,DEPOSIT, ,
DSLIP,2/16/2023,DEPOSIT,333.87,DEPOSIT, ,
DSLIP,2/16/2023,DEPOSIT,275.69,DEPOSIT, ,
DSLIP,2/16/2023,DEPOSIT,117.35,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,515.81,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,479.13,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,439.34,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,382.3,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,345.85,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,335.83,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,329.67,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,296.83,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,295.89,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,277.07,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,273.96,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,273.88,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,229.41,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,224.91,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,206.46,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,195.9,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,180.72,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,175.92,DEPOSIT, ,
DSLIP,2/13/2023,DEPOSIT,161.93,DEPOSIT, ,
